parameter,unit,value,frequency,date,longitude,latitude,height,validation,note
PM10,,-1.0,,2022-03-24T16:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T16:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T16:00:00.0,,,,,
CO,,-1.0,,2022-03-24T17:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T17:00:00.0,,,,,
O3,,-1.0,,2022-03-24T17:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T17:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T17:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T17:00:00.0,,,,,
CO,,-1.0,,2022-03-24T17:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-24T17:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T17:00:00.0,,,,,
O3,,-1.0,,2022-03-24T17:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T17:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T17:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T17:00:00.0,,,,,
CO,,-1.0,,2022-03-24T18:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T18:00:00.0,,,,,
O3,,-1.0,,2022-03-24T18:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T18:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T18:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T18:00:00.0,,,,,
CO,,-1.0,,2022-03-24T18:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-24T18:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T18:00:00.0,,,,,
O3,,-1.0,,2022-03-24T18:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T18:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T18:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T18:00:00.0,,,,,
CO,,-1.0,,2022-03-24T19:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T19:00:00.0,,,,,
O3,,-1.0,,2022-03-24T19:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T19:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T19:00:00.0,,,,,
